material_id;diameter;body_length;wall_thickness;laminate;shoulder;closure;closure_material;packaging_code;lacquer;printing_document;customer_id
262080;13.5;62;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0511;LA0180;PD047642;100327
262082;16.0;52;0.5;PF0404;N-0900000030;H-0916040003;605481;VK16101;LA0180;PD047647;100323
262089;50.0;155;0.5;;P-2100Z01100;VS2148030M02;614757;VPU053;LA0144;PD050348;105521
262092;50.0;155;0.5;;P-2100Z01100;VS2148030M02;614757;VPU053;LA0144;PD050349;105521
262127;30.0;80;0.5;;P-1700Z00100;VS1729030M04;616263;VPU041;LA0174;PD070107;105521
262161;19.0;90;0.5;PF0109D;K-1500Z01014;HL1519014001;614294;VP0504;LA0172;PD047664;100354
262199;13.5;50;0.3;PF0405;K-060A000011;HC0613011001;616332;VK13101;LA0172;PD047669;100354
262202;19.0;58;0.5;PF0109C;N-1100000015;HI1119057001;201116;VP0190;LA0174;PD047670;100583
262203;19.0;58;0.5;PF0109C;N-1100000015;HI1119057001;201116;VP0190;LA0174;PD047671;100583
262248;16.0;60;0.5;PF0109D;K-060A000015;HC0615015001;611695;VK16101;LA0180;PD052739;101328
262249;25.0;100;0.5;PF0116;K-060A000015;HC0615015001;611695;VK25201;LA0180;PD052740;101328
262299;16.0;52;0.5;PF0404;N-0900000030;H-0916040003;605481;VK16101;LA0180;PD047697;100323
262412;25.0;85;0.5;PF0404;N-1110000020;HI1124057M01;234216;VP0465;LA0173;PD047721;
262442;16.0;52;0.5;PF0404;N-0900000030;H-0916040003;605481;VK16101;LA0180;PD047729;100323
262493;30.0;110;0.5;PF0404;N-150GSF0040;HG1529060Z02;607663;VK30201;LA0180;;101371
262495;19.0;65;0.4;;N-1110002025;H-1119050002;607597;VPU035;LA0142;PD050360;100468
262507;50.0;177;0.5;PF0413;N-150GSF0060;HG1539060Z01;607664;VK50303;LA0161;PD050835;100385
262509;16.0;52;0.5;PF0404;N-0900000030;H-0916040003;605481;VK16101;LA0180;PD047759;100324
262518;50.0;160;0.5;;P-2100Z01100;VS2148050007;611034;VPU054;LA0142;PD050363;101361
262519;50.0;160;0.5;;P-2100Z01100;VS2148050007;611034;VPU054;LA0142;PD050364;101361
262520;50.0;160;0.5;;P-2100Z01100;VS2148050007;611034;VPU054;LA0142;PD050365;101361
262521;25.0;115;0.5;PF0404;N-1100000057;HI1124057001;221484;VP0294;LA0180;PD047765;100504
262610;13.5;62;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0511;LA0180;PD047783;100327
262611;13.5;62;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0511;LA0180;PD047784;100327
262612;13.5;62;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0511;LA0180;PD047785;100327
262627;25.0;125;0.35;PF0116;N-0900000030;H-0916040003;615189;VK25601;LA0180;PD049373;100332
262645;13.5;62;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0511;LA0180;PD047796;100327
262653;35.0;123;0.5;;P-2100Z01100;VS2134050M02;616166;VPU047;LA0143;PD050373;100643
262672;30.0;146;0.5;;N-15D0001050;HS1529050M01;612504;VPU042;LA0173;PD054099;100642
262673;30.0;146;0.5;;N-15D0001050;HS1529050M01;612504;VPU042;LA0173;PD054098;100642
262703;19.0;105;0.4;;K-0900001015;HC0912022R01;616209;VPU035;LA0142;PD050381;101311
262710;30.0;146;0.5;;N-15D0001050;H-1530090M02;610882;VPU042;LA0143;PD050376;100642
262711;30.0;146;0.5;;N-15D0001050;H-1530090M02;610882;VPU042;LA0143;PD050377;100642
262742;25.0;103;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0294;LA0180;PD047858;100453
262792;40.0;140;0.5;PF0404;P-2100Z00100;VS2138015M06;615124;VK40201;LA0173;PD047900;100453
262795;50.0;210;0.5;PF0404;P-2100Z00100;VS2148020M03;614852;VK50401;LA0173;PD047901;100453
